Country,Area,Region,Year,No
Tibet,Breeding,Qinghai–Tibet Plateau,2003,230
Tibet,Breeding,Qinghai–Tibet Plateau,2009,250
Tibet,Breeding,Qinghai–Tibet Plateau,2012,200
Nepal,Breeding,South Asia,2002,223
Nepal,Breeding,South Asia,2004,145
Nepal,Breeding,South Asia,2005,68
Pakistan,Breeding,South Asia,2005,70.3
Pakistan,Breeding,South Asia,2007,55.6
Pakistan,Breeding,South Asia,2008,29.4
Pakistan,Breeding,South Asia,2009,32.5
Pakistan,Breeding,South Asia,2010,41.9
Myanmar,Non-breeding,Southeast Asia,2004,69
Myanmar,Non-breeding,Southeast Asia,2006,16
Myanmar,Non-breeding,Southeast Asia,2012,2
Myanmar,Non-breeding,Southeast Asia,2017,20
Myanmar,Non-breeding,Southeast Asia,2019,7
Myanmar,Non-breeding,Southeast Asia,2020,8
Thailand,Non-breeding,Southeast Asia,1981,3
Thailand,Non-breeding,Southeast Asia,1987,1
Thailand,Non-breeding,Southeast Asia,1989,9
Thailand,Non-breeding,Southeast Asia,1990,2
Thailand,Non-breeding,Southeast Asia,2004,2
Thailand,Non-breeding,Southeast Asia,2006,5
Thailand,Non-breeding,Southeast Asia,2007,33
Thailand,Non-breeding,Southeast Asia,2008,1
Thailand,Non-breeding,Southeast Asia,2009,10
Thailand,Non-breeding,Southeast Asia,2010,2
Thailand,Non-breeding,Southeast Asia,2011,6
Thailand,Non-breeding,Southeast Asia,2012,1
Thailand,Non-breeding,Southeast Asia,2013,7
Thailand,Non-breeding,Southeast Asia,2014,59
Thailand,Non-breeding,Southeast Asia,2015,14
Thailand,Non-breeding,Southeast Asia,2016,6
Thailand,Non-breeding,Southeast Asia,2017,6
Thailand,Non-breeding,Southeast Asia,2018,36
Thailand,Non-breeding,Southeast Asia,2019,18
Thailand,Non-breeding,Southeast Asia,2020,75
Thailand,Non-breeding,Southeast Asia,2022,10
Thailand,Non-breeding,Southeast Asia,2023,5
Thailand,Non-breeding,Southeast Asia,2024,16
Cambodia,Non-breeding,Southeast Asia,2004,1
Cambodia,Non-breeding,Southeast Asia,2007,1
Cambodia,Non-breeding,Southeast Asia,2008,1
Cambodia,Non-breeding,Southeast Asia,2016,1
Cambodia,Non-breeding,Southeast Asia,2023,1
Cambodia,Non-breeding,Southeast Asia,2024,2
Malaysia,Non-breeding,Southeast Asia,1979,1
Malaysia,Non-breeding,Southeast Asia,1995,1
Malaysia,Non-breeding,Southeast Asia,2004,1
Malaysia,Non-breeding,Southeast Asia,2006,1
Malaysia,Non-breeding,Southeast Asia,2008,1
Malaysia,Non-breeding,Southeast Asia,2010,1
Malaysia,Non-breeding,Southeast Asia,2015,9
Malaysia,Non-breeding,Southeast Asia,2019,1
Singapore,Non-breeding,Southeast Asia,1989,4
Singapore,Non-breeding,Southeast Asia,1992,9
Singapore,Non-breeding,Southeast Asia,2005,2
Singapore,Non-breeding,Southeast Asia,2006,2
Singapore,Non-breeding,Southeast Asia,2008,5
Singapore,Non-breeding,Southeast Asia,2016,1
Singapore,Non-breeding,Southeast Asia,2018,1
Singapore,Non-breeding,Southeast Asia,2019,15
Singapore,Non-breeding,Southeast Asia,2021,9
Singapore,Non-breeding,Southeast Asia,2022,5
Singapore,Non-breeding,Southeast Asia,2023,1
Singapore,Non-breeding,Southeast Asia,2024,4
Indonesia,Non-breeding,Southeast Asia,2007,1
